
Image 69 |  PSNR - 28.553346318790396 | MSE - 272.18675231933594 | MAE - 1108887.0
Image 70 |  PSNR - 20.616217317837908 | MSE - 1692.6995697021484 | MAE - 3014425.0
Image 71 |  PSNR - 26.03714843386519 | MSE - 485.8327331542969 | MAE - 1293944.0
Image 72 |  PSNR - 37.61324285822943 | MSE - 33.79693603515625 | MAE - 380970.0
Image 73 |  PSNR - 20.56808705850758 | MSE - 1711.5630798339844 | MAE - 2182268.0
Image 74 |  PSNR - 37.47368289697125 | MSE - 34.900634765625 | MAE - 417402.0
Image 75 |  PSNR - 36.46018345960336 | MSE - 44.07408142089844 | MAE - 440517.0
Image 76 |  PSNR - 36.27021458282354 | MSE - 46.04475402832031 | MAE - 531735.0
Image 77 |  PSNR - 31.454360565263265 | MSE - 139.5614776611328 | MAE - 720353.0
Image 78 |  PSNR - 23.700442008056637 | MSE - 832.0653076171875 | MAE - 2062136.0
Image 79 |  PSNR - 33.614775790446544 | MSE - 84.86410522460938 | MAE - 716136.0
Image 80 |  PSNR - 27.44013781853885 | MSE - 351.7125244140625 | MAE - 1162440.0
Image 81 |  PSNR - 50.28213852806287 | MSE - 1.8280487060546875 | MAE - 107393.0
Image 82 |  PSNR - 29.569673121773544 | MSE - 215.39434814453125 | MAE - 954420.0
Image 83 |  PSNR - 32.03767103950224 | MSE - 122.02098083496094 | MAE - 837781.0
Image 84 |  PSNR - 25.37785998473614 | MSE - 565.4778747558594 | MAE - 1269606.0
Image 85 |  PSNR - 47.21332708590802 | MSE - 3.7056884765625 | MAE - 133694.0
Image 86 |  PSNR - 39.107409558695785 | MSE - 23.95855712890625 | MAE - 346752.0
Image 87 |  PSNR - 25.449707168433612 | MSE - 556.1998901367188 | MAE - 1901572.0
Image 88 |  PSNR - 44.378289671662316 | MSE - 7.1182403564453125 | MAE - 175995.0
Image 89 |  PSNR - 19.960744173493264 | MSE - 1968.4627380371094 | MAE - 3997690.0
Image 90 |  PSNR - 28.952890017193177 | MSE - 248.2633514404297 | MAE - 1246395.0
Image 91 |  PSNR - 32.43501907898331 | MSE - 111.35243225097656 | MAE - 743611.0
Image 92 |  PSNR - 35.15196656467368 | MSE - 59.56689453125 | MAE - 496466.0
Image 93 |  PSNR - 23.739164705791616 | MSE - 824.6793975830078 | MAE - 2323133.0
Image 94 |  PSNR - 28.166197199139468 | MSE - 297.5650329589844 | MAE - 1335490.0
Image 95 |  PSNR - 26.321084328887856 | MSE - 455.085693359375 | MAE - 1925208.0
Image 96 |  PSNR - 33.45829504713728 | MSE - 87.97760009765625 | MAE - 703316.0
Image 97 |  PSNR - 29.54786232619838 | MSE - 216.4788055419922 | MAE - 1075951.0
Image 98 |  PSNR - 34.661130603072145 | MSE - 66.69427490234375 | MAE - 611702.0
Image 99 |  PSNR - 28.789114486153053 | MSE - 257.80430603027344 | MAE - 1013915.0
Image 100 |  PSNR - 33.20838621376258 | MSE - 93.18864440917969 | MAE - 692121.0
Image 101 |  PSNR - 25.905388277049028 | MSE - 500.79823303222656 | MAE - 1799149.0
Image 102 |  PSNR - 38.36349352493024 | MSE - 28.4349365234375 | MAE - 368554.0
Image 103 |  PSNR - 34.60948209417001 | MSE - 67.49217224121094 | MAE - 429999.0
Image 104 |  PSNR - 31.80663655272541 | MSE - 128.68797302246094 | MAE - 919873.0
Image 105 |  PSNR - 28.997604055906663 | MSE - 245.72039794921875 | MAE - 1324986.0
Image 106 |  PSNR - 50.39398618684126 | MSE - 1.7815704345703125 | MAE - 103917.0
Image 107 |  PSNR - 29.147934948674976 | MSE - 237.36032104492188 | MAE - 1149140.0
Image 108 |  PSNR - 27.10688197732174 | MSE - 379.763671875 | MAE - 1199276.0
Image 109 |  PSNR - 34.43488222289788 | MSE - 70.26084899902344 | MAE - 569313.0
Image 110 |  PSNR - 27.847137808071448 | MSE - 320.24903869628906 | MAE - 1129515.0
Image 111 |  PSNR - 34.002547277039895 | MSE - 77.61521911621094 | MAE - 535015.0
